ID,Type,Name,Link,,,,,,,,,,,,,,,,,,,
1,Lentils,Apricot Lentil Soup,http://allrecipes.com/recipe/12979/apricot-lentil-soup/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%2011,,,,,,,,,,,,,,,,,,,
2,Beef,Beef Bulgogi,http://allrecipes.com/recipe/100606/beef-bulgogi/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%202,,,,,,,,,,,,,,,,,,,
3,Chicken,Crispy Herb Baked Chicken,http://allrecipes.com/recipe/8509/crispy-herb-baked-chicken/?clickId=right%20rail%204&internalSource=rr_feed_recipe&referringId=8509&referringContentType=recipe,,,,,,,,,,,,,,,,,,,
4,Pasta,Fettuccini Carbonara,http://allrecipes.com/recipe/42585/fettuccini-carbonara/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%204,,,,,,,,,,,,,,,,,,,
5,Chicken,Grilled Rosemary Chicken Breasts,http://allrecipes.com/recipe/233546/grilled-rosemary-chicken-breasts/?clickId=right%20rail%201&internalSource=rr_feed_recipe&referringId=233546&referringContentType=recipe,,,,,,,,,,,,,,,,,,,
6,Fish,Grilled Salmon,http://allrecipes.com/recipe/12720/grilled-salmon-i/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%203,,,,,,,,,,,,,,,,,,,
7,Fish,Grilled Shrimp Scampi,http://allrecipes.com/recipe/12771/grilled-shrimp-scampi/?clickId=right%20rail%202&internalSource=rr_feed_recipe&referringId=12771&referringContentType=recipe,,,,,,,,,,,,,,,,,,,
8,Lentils,Mexican Bean Salad,http://allrecipes.com/recipe/14169/mexican-bean-salad/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%202,,,,,,,,,,,,,,,,,,,
9,Pasta,Mushroom Orzo,http://allrecipes.com/recipe/85426/mushroom-orzo/?internalSource=previously%20viewed&referringContentType=home%20page&clickId=cardslot%204,,,,,,,,,,,,,,,,,,,
10,Pork,Pork Dumplings,http://allrecipes.com/recipe/14759/pork-dumplings/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%205,,,,,,,,,,,,,,,,,,,
11,Pork,Beer Pulled Pork,http://allrecipes.com/recipe/235950/slow-cooker-beer-pulled-pork/?internalSource=previously%20viewed&referringContentType=home%20page&clickId=cardslot%2015,,,,,,,,,,,,,,,,,,,
12,Beef,Slow Cooker Roast Beef,http://allrecipes.com/recipe/22228/slow-cooker-roast-beef/?clickId=right%20rail%203&internalSource=rr_feed_recipe&referringId=22228&referringContentType=recipe,,,,,,,,,,,,,,,,,,,
13,Vegetables,Spinach and Strawberry Salad,http://allrecipes.com/recipe/16409/spinach-and-strawberry-salad/?internalSource=user%20pref&referringContentType=home%20page&clickId=cardslot%203,,,,,,,,,,,,,,,,,,, 
14,Vegetables,Vegetarian Korma,http://allrecipes.com/recipe/60598/vegetarian-korma/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%202,,,,,,,,,,,,,,,,,,,
15,Chicken,Chili-Lime Chicken Kabobs,http://allrecipes.com/recipe/19934/chili-lime-chicken-kabobs/?internalSource=user%20pref&referringContentType=home%20page&clickId=cardslot%2015,,,,,,,,,,,,,,,,,,,
16,Chicken,Baked Honey Mustard Chicken,http://allrecipes.com/recipe/8847/baked-honey-mustard-chicken/?internalSource=hub%20recipe&referringId=84&referringContentType=recipe%20hub&clickId=cardslot%2020,  ,,,,,,,,,,,,,,,,,,
17,Lentils,Black Bean Veggie Burgers,http://allrecipes.com/recipe/85452/homemade-black-bean-veggie-burgers/?internalSource=hub%20recipe&referringId=84&referringContentType=recipe%20hub&clickId=cardslot%2018,,,,,,,,,,,,,,,,,,,
18,Vegetables,Roasted Vegetables,http://allrecipes.com/recipe/9377/roasted-vegetables/?internalSource=hub%20recipe&referringId=84&referringContentType=recipe%20hub&clickId=cardslot%2031,,,,,,,,,,,,,,,,,,,
19,Chicken,Chicken Tortilla Soup,http://allrecipes.com/recipe/19766/six-can-chicken-tortilla-soup/?internalSource=hub%20recipe&referringId=84&referringContentType=recipe%20hub&clickId=cardslot%2034,,,,,,,,,,,,,,,,,,,
20,Vegetables,Roasted Garlic Lemon Broccoli,http://allrecipes.com/recipe/144346/roasted-garlic-lemon-broccoli/?internalSource=recipe%20hub&referringId=84&referringContentType=recipe%20hub&clickId=cardslot%2031,,,,,,,,,,,,,,,,,,,
21,Chicken,White Bean Chicken Chili,http://allrecipes.com/recipe/13010/white-bean-chicken-chili/?internalSource=recipe%20hub&referringId=84&referringContentType=recipe%20hub&clickId=cardslot%2035,,,,,,,,,,,,,,,,,,,
22,Fish,Garlic Shrimp Linguine,http://allrecipes.com/recipe/17048/garlic-shrimp-linguine/?internalSource=recipe%20hub&referringId=84&referringContentType=recipe%20hub&clickId=cardslot%2064,,,,,,,,,,,,,,,,,,,
23,Fish,Fish Tacos,http://allrecipes.com/recipe/221936/quick-fish-tacos/?internalSource=staff%20pick&referringId=1947&referringContentType=recipe%20hub&clickId=cardslot%203,,,,,,,,,,,,,,,,,,,
24,Pork,"Italian Sausage, Peppers & Onion",http://allrecipes.com/recipe/76808/italian-sausage-peppers-and-onions/?internalSource=staff%20pick&referringId=1947&referringContentType=recipe%20hub&clickId=cardslot%209,,,,,,,,,,,,,,,,,,,
25,Beef,Beef Stir-Fry,http://allrecipes.com/video/5152/quick-beef-stir-fry/?internalSource=videocard&referringId=1947&referringContentType=recipe%20hub&clickId=cardslot%2017,,,,,,,,,,,,,,,,,,,
26,Chicken,Lime Chicken Soft Tacos,http://allrecipes.com/recipe/25371/lime-chicken-soft-tacos/?internalSource=hub%20recipe&referringId=1947&referringContentType=recipe%20hub&clickId=cardslot%2020,,,,,,,,,,,,,,,,,,,
27,Pork,Mushroom Pork Chops,http://allrecipes.com/recipe/14746/mushroom-pork-chops/?internalSource=hub%20recipe&referringId=1947&referringContentType=recipe%20hub&clickId=cardslot%2029,,,,,,,,,,,,,,,,,,,
28,Chicken,Pollo Fajitas,http://allrecipes.com/recipe/8580/pollo-fajitas/?internalSource=recipe%20hub&referringId=1947&referringContentType=recipe%20hub&clickId=cardslot%2026,,,,,,,,,,,,,,,,,,,
29,Beef,Hamburger Stroganoff,http://allrecipes.com/recipe/23260/simple-hamburger-stroganoff/?internalSource=recipe%20hub&referringId=1947&referringContentType=recipe%20hub&clickId=cardslot%2042,,,,,,,,,,,,,,,,,,,
30,Beef,Sirloin Steak with Garlic Butter,http://allrecipes.com/recipe/14554/sirloin-steak-with-garlic-butter/?internalSource=recipe%20hub&referringId=1947&referringContentType=recipe%20hub&clickId=cardslot%2037,,,,,,,,,,,,,,,,,,,
31,Beef,Chinese Pepper Steak,http://allrecipes.com/recipe/172704/chinese-pepper-steak/?internalSource=recipe%20hub&referringId=1947&referringContentType=recipe%20hub&clickId=cardslot%2091,,,,,,,,,,,,,,,,,,,
32,Vegetables,Vegetarian Bibimbap (Korean Dish),http://allrecipes.com/recipe/228241/vegetarian-bibimbap/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%205,,,,,,,,,,,,,,,,,,,
33,Pasta,Simple Pasta Salad,http://allrecipes.com/recipe/14385/pasta-salad/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%204,,,,,,,,,,,,,,,,,,,
34,Fish,Wonton Soup,http://allrecipes.com/recipe/13199/wonton-soup/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%201,,,,,,,,,,,,,,,,,,,
35,Pork,Bacon Wrapped Smokies,http://allrecipes.com/recipe/69919/bacon-wrapped-smokies/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%2014,,,,,,,,,,,,,,,,,,,
36,Chicken,Parmesan Chicken Bake,http://allrecipes.com/recipe/219164/the-best-parmesan-chicken-bake/?internalSource=hub%20recipe&referringId=15063&referringContentType=recipe%20hub&clickId=cardslot%2023,,,,,,,,,,,,,,,,,,,
37,Pork,Sausage Stuffed Jalapenos,http://allrecipes.com/recipe/83500/sausage-stuffed-jalapenos/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%2026,,,,,,,,,,,,,,,,,,,
38,Chicken,Indian Butter Chicken,http://allrecipes.com/recipe/141169/easy-indian-butter-chicken/?internalSource=recipe%20hub&referringContentType=search%20results&clickId=cardslot%2039,,,,,,,,,,,,,,,,,,,
39,Vegetables,Sauteed Mushrooms,http://allrecipes.com/recipe/222795/superb-sauteed-mushrooms/?internalSource=recipe%20hub&referringContentType=search%20results&clickId=cardslot%2042,,,,,,,,,,,,,,,,,,,
40,Vegetables,Roasted Butternut Squash,http://allrecipes.com/recipe/229733/simple-roasted-butternut-squash/?internalSource=recipe%20hub&referringContentType=search%20results&clickId=cardslot%2043,,,,,,,,,,,,,,,,,,,
41,Vegetables,Insalata Caprese,http://allrecipes.com/recipe/16526/insalata-caprese-ii/?internalSource=recipe%20hub&referringContentType=search%20results&clickId=cardslot%2065,,,,,,,,,,,,,,,,,,,
42,Vegetables,Sweet Corn on the Cob,http://allrecipes.com/recipe/222352/jamies-sweet-and-easy-corn-on-the-cob/?internalSource=recipe%20hub&referringContentType=search%20results&clickId=cardslot%2062,,,,,,,,,,,,,,,,,,,
43,Fish,Clam Chowder,http://allrecipes.com/recipe/53887/cindys-awesome-clam-chowder/?internalSource=recipe%20hub&referringContentType=search%20results&clickId=cardslot%2063,,,,,,,,,,,,,,,,,,,
44,Lentils,Black Bean Soup,http://allrecipes.com/recipe/220179/quick-and-easy-black-bean-soup/?internalSource=recipe%20hub&referringContentType=search%20results&clickId=cardslot%2068,,,,,,,,,,,,,,,,,,,
45,Beef,Reuben Sandwich,http://allrecipes.com/recipe/47717/reuben-sandwich-ii/?internalSource=recipe%20hub&referringContentType=search%20results&clickId=cardslot%2080,,,,,,,,,,,,,,,,,,,
46,Pork,Marinated Pork Tenderloin,http://allrecipes.com/recipe/176359/easy-marinated-pork-tenderloin/?internalSource=recipe%20hub&referringContentType=search%20results&clickId=cardslot%2084,,,,,,,,,,,,,,,,,,,
47,Chicken,Spicy Chipotle Turkey Burgers,http://allrecipes.com/recipe/166583/spicy-chipotle-turkey-burgers/?internalSource=recipe%20hub&referringContentType=search%20results&clickId=cardslot%2089,,,,,,,,,,,,,,,,,,,
48,Chicken,Chicken Enchiladas,http://allrecipes.com/recipe/83549/angelas-awesome-enchiladas/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%203,,,,,,,,,,,,,,,,,,,
49,Fish,Balsamic-Glazed Salmon,http://allrecipes.com/video/4313/balsamic-glazed-salmon-fillets/?internalSource=videocard&referringId=1947&referringContentType=recipe%20hub&clickId=cardslot%2022,,,,,,,,,,,,,,,,,,,
50,Pasta,Chicken Milano Pasta,http://allrecipes.com/recipe/19304/chicken-milano/?internalSource=hub%20recipe&referringId=1947&referringContentType=recipe%20hub&clickId=cardslot%2024,,,,,,,,,,,,,,,,,,,
51,Beef,Filet Mignon with Balsamic Glaze,http://allrecipes.com/recipe/30578/filet-mignon-with-rich-balsamic-glaze/?internalSource=recipe%20hub&referringId=1947&referringContentType=recipe%20hub&clickId=cardslot%2023,,,,,,,,,,,,,,,,,,,
52,Pasta,Spinach and Feta Pasta,http://allrecipes.com/recipe/19591/sukis-spinach-and-feta-pasta/?internalSource=recipe%20hub&referringId=1947&referringContentType=recipe%20hub&clickId=cardslot%2027,,,,,,,,,,,,,,,,,,,
53,Pork,Honey Pecan Pork Chops,http://allrecipes.com/recipe/14693/awesome-honey-pecan-pork-chops/?internalSource=recipe%20hub&referringId=1947&referringContentType=recipe%20hub&clickId=cardslot%2043,,,,,,,,,,,,,,,,,,,
54,Chicken,Dijon-Tarragon Cream Chicken,http://allrecipes.com/recipe/77156/dijon-tarragon-cream-chicken/?internalSource=recipe%20hub&referringId=1947&referringContentType=recipe%20hub&clickId=cardslot%2053,,,,,,,,,,,,,,,,,,,
55,Fish,Broiled Scallops,http://allrecipes.com/recipe/12798/broiled-scallops/?internalSource=recipe%20hub&referringId=1947&referringContentType=recipe%20hub&clickId=cardslot%2067,,,,,,,,,,,,,,,,,,,
56,Pasta,One Pan Orecchiette Pasta,http://allrecipes.com/recipe/239047/one-pan-orecchiette-pasta/?internalSource=recipe%20hub&referringId=1947&referringContentType=recipe%20hub&clickId=cardslot%2069,,,,,,,,,,,,,,,,,,,
57,Chicken,Mushroom Chicken Piccata,http://allrecipes.com/recipe/15134/mushroom-chicken-piccata/?internalSource=recipe%20hub&referringId=1947&referringContentType=recipe%20hub&clickId=cardslot%2077,,,,,,,,,,,,,,,,,,,
58,Chicken,Sweet and Sour Chicken,http://allrecipes.com/recipe/17747/sweet-and-sour-chicken-iii/?internalSource=recipe%20hub&referringId=1947&referringContentType=recipe%20hub&clickId=cardslot%2083,,,,,,,,,,,,,,,,,,,
59,Pasta,Amatriciana Pasta Dish,http://allrecipes.com/recipe/11704/amatriciana/?internalSource=recipe%20hub&referringId=1947&referringContentType=recipe%20hub&clickId=cardslot%2098,,,,,,,,,,,,,,,,,,,
60,Beef,Barbacoa-Style Shredded Beef,http://allrecipes.com/recipe/246835/barbacoa-style-shredded-beef/?internalSource=staff%20pick&referringId=15063&referringContentType=recipe%20hub&clickId=cardslot%203,,,,,,,,,,,,,,,,,,,
61,Pork,Italian Sausage Stuffed Shells,http://allrecipes.com/recipe/246787/italian-sausage-stuffed-shells/?internalSource=staff%20pick&referringId=15063&referringContentType=recipe%20hub&clickId=cardslot%204,,,,,,,,,,,,,,,,,,,
62,Pork,"Roasted Potatoes with Bacon, Cheese, and Parsley",http://allrecipes.com/recipe/246569/roasted-potatoes-with-bacon-cheese-and-parsley/?internalSource=staff%20pick&referringId=15063&referringContentType=recipe%20hub&clickId=cardslot%205,,,,,,,,,,,,,,,,,,,
63,Chicken,Grilled Lime Cilantro Chicken with Sweet Chili Sauce,http://allrecipes.com/recipe/256625/grilled-lime-cilantro-chicken-with-sweet-chili-sauce/?internalSource=staff%20pick&referringId=15063&referringContentType=recipe%20hub&clickId=cardslot%208,,,,,,,,,,,,,,,,,,,
64,Vegetables,Herb 'n Honey Cucumber Tomato Salad,http://allrecipes.com/recipe/254495/herb-n-honey-cucumber-tomato-salad/?internalSource=staff%20pick&referringId=15063&referringContentType=recipe%20hub&clickId=cardslot%209,,,,,,,,,,,,,,,,,,,
65,Vegetables,Addictive Sweet Potato Burritos,http://allrecipes.com/recipe/13954/addictive-sweet-potato-burritos/?internalSource=hub%20recipe&referringId=15063&referringContentType=recipe%20hub&clickId=cardslot%2017,,,,,,,,,,,,,,,,,,,
66,Beef,Easy Mexican Casserole,http://allrecipes.com/recipe/20680/easy-mexican-casserole/?internalSource=hub%20recipe&referringId=15063&referringContentType=recipe%20hub&clickId=cardslot%2020,,,,,,,,,,,,,,,,,,,
67,Pasta,Chef John's Macaroni and Cheese,http://allrecipes.com/recipe/219166/chef-johns-macaroni-and-cheese/?internalSource=hub%20recipe&referringId=15063&referringContentType=recipe%20hub&clickId=cardslot%2027,,,,,,,,,,,,,,,,,,,
68,Chicken,Pesto Cheesy Chicken Rolls,http://allrecipes.com/recipe/57319/pesto-cheesy-chicken-rolls/?internalSource=recipe%20hub&referringId=15063&referringContentType=recipe%20hub&clickId=cardslot%2022,,,,,,,,,,,,,,,,,,,
69,Pork,BLT Salad,http://allrecipes.com/recipe/14146/blt-salad/?internalSource=recipe%20hub&referringId=15063&referringContentType=recipe%20hub&clickId=cardslot%2027,,,,,,,,,,,,,,,,,,,
70,Chicken,Asian Glazed Chicken Thighs,http://allrecipes.com/recipe/216943/asian-glazed-chicken-thighs/?internalSource=recipe%20hub&referringId=15063&referringContentType=recipe%20hub&clickId=cardslot%2039,,,,,,,,,,,,,,,,,,,
71,Lentils,Hummus,http://allrecipes.com/recipe/14830/hummus-iii/?internalSource=hub%20recipe&referringContentType=search%20results&clickId=cardslot%203,,,,,,,,,,,,,,,,,,,
72,Vegetables,Potato Latkes,http://allrecipes.com/recipe/16073/potato-latkes-i/?internalSource=recipe%20hub&referringId=15063&referringContentType=recipe%20hub&clickId=cardslot%2046,,,,,,,,,,,,,,,,,,,
73,Vegetables,Glazed Carrots with Orange,http://allrecipes.com/recipe/24773/orange-glazed-carrots/?internalSource=recipe%20hub&referringId=15063&referringContentType=recipe%20hub&clickId=cardslot%2055,,,,,,,,,,,,,,,,,,,
74,Beef,Beef and Cabbage Stir Fry,http://allrecipes.com/recipe/50233/black-pepper-beef-and-cabbage-stir-fry/?internalSource=recipe%20hub&referringId=15063&referringContentType=recipe%20hub&clickId=cardslot%2058,,,,,,,,,,,,,,,,,,,
75,Pork,Cuban Midnight Sandwich,http://allrecipes.com/recipe/38466/cuban-midnight-sandwich/?internalSource=recipe%20hub&referringId=15063&referringContentType=recipe%20hub&clickId=cardslot%2056,,,,,,,,,,,,,,,,,,,
76,Vegetables,Easy Baked Potato Soup,http://allrecipes.com/recipe/220910/slow-cooker-easy-baked-potato-soup/?internalSource=recipe%20hub&referringId=15063&referringContentType=recipe%20hub&clickId=cardslot%2063,,,,,,,,,,,,,,,,,,,
77,Vegetables,Vegetarian Quesadillas,http://allrecipes.com/recipe/165783/farmers-market-vegetarian-quesadillas/?internalSource=recipe%20hub&referringId=15063&referringContentType=recipe%20hub&clickId=cardslot%2066,,,,,,,,,,,,,,,,,,,
78,Fish,Perfect Ten Baked Cod,http://allrecipes.com/recipe/228319/perfect-ten-baked-cod/?internalSource=recipe%20hub&referringId=15063&referringContentType=recipe%20hub&clickId=cardslot%2069,,,,,,,,,,,,,,,,,,,
79,Chicken,Chicken Pot Pie,http://allrecipes.com/recipe/216758/moms-fabulous-chicken-pot-pie-with-biscuit-crust/?internalSource=recipe%20hub&referringId=15063&referringContentType=recipe%20hub&clickId=cardslot%2071,,,,,,,,,,,,,,,,,,,
80,Pasta,Alfredo Mostaccioli,http://allrecipes.com/recipe/26249/alfredo-mostaccioli/?internalSource=recipe%20hub&referringId=15063&referringContentType=recipe%20hub&clickId=cardslot%2076,,,,,,,,,,,,,,,,,,,
81,Vegetables,Lemon Pepper Green Beans,http://allrecipes.com/recipe/25248/lemon-pepper-green-beans/?internalSource=recipe%20hub&referringId=15063&referringContentType=recipe%20hub&clickId=cardslot%2082,,,,,,,,,,,,,,,,,,,
82,Vegetables,Fruit Salad in Seconds,http://allrecipes.com/recipe/24373/fruit-salad-in-seconds/?internalSource=recipe%20hub&referringId=15063&referringContentType=recipe%20hub&clickId=cardslot%2090,,,,,,,,,,,,,,,,,,,
83,Chicken,Avacado Soup with Chicken and Lime,http://allrecipes.com/recipe/20809/avocado-soup-with-chicken-and-lime/?internalSource=recipe%20hub&referringId=15063&referringContentType=recipe%20hub&clickId=cardslot%20109,,,,,,,,,,,,,,,,,,,
84,Fish,One Pot Tuna Casserole,http://allrecipes.com/recipe/24512/one-pot-tuna-casserole/?internalSource=recipe%20hub&referringId=15063&referringContentType=recipe%20hub&clickId=cardslot%20111,,,,,,,,,,,,,,,,,,,
85,Vegetables,Vegetarian Stuffed Peppers,http://allrecipes.com/recipe/231514/vegetarian-mexican-inspired-stuffed-peppers/?internalSource=recipe%20hub&referringId=15063&referringContentType=recipe%20hub&clickId=cardslot%20112,,,,,,,,,,,,,,,,,,,
86,Fish,Cajun Seafood Pasta,http://allrecipes.com/recipe/11688/cajun-seafood-pasta/?internalSource=staff%20pick&referringId=1642&referringContentType=recipe%20hub&clickId=cardslot%203,,,,,,,,,,,,,,,,,,,
87,Pasta,Lasagna,http://allrecipes.com/recipe/23600/worlds-best-lasagna/?internalSource=hub%20recipe&referringId=1642&referringContentType=recipe%20hub&clickId=cardslot%2012,,,,,,,,,,,,,,,,,,,
88,Fish,Broiled Tilapia Parmesan,http://allrecipes.com/recipe/50644/broiled-tilapia-parmesan/?internalSource=hub%20recipe&referringId=1642&referringContentType=recipe%20hub&clickId=cardslot%2029,,,,,,,,,,,,,,,,,,,
89,Chicken,Slow Cooker Chicken and Dumplings,http://allrecipes.com/recipe/8941/slow-cooker-chicken-and-dumplings/?internalSource=hub%20recipe&referringId=1642&referringContentType=recipe%20hub&clickId=cardslot%2033,,,,,,,,,,,,,,,,,,,
90,Chicken,Chicken Taco Soup,http://allrecipes.com/recipe/70343/slow-cooker-chicken-taco-soup/?internalSource=recipe%20hub&referringId=1642&referringContentType=recipe%20hub&clickId=cardslot%2025,,,,,,,,,,,,,,,,,,,
91,Beef,Sloppy Joes,http://allrecipes.com/recipe/24264/sloppy-joes-ii/?internalSource=recipe%20hub&referringId=1642&referringContentType=recipe%20hub&clickId=cardslot%2027,,,,,,,,,,,,,,,,,,,
92,Vegetables,Guacamole,http://allrecipes.com/recipe/14231/guacamole/?internalSource=recipe%20hub&referringId=1642&referringContentType=recipe%20hub&clickId=cardslot%2032,,,,,,,,,,,,,,,,,,,
93,Lentils,Quinoa and Black Beans,http://allrecipes.com/recipe/49552/quinoa-and-black-beans/?internalSource=recipe%20hub&referringId=1642&referringContentType=recipe%20hub&clickId=cardslot%2043,,,,,,,,,,,,,,,,,,,
94,Beef,Beef Stew,http://allrecipes.com/recipe/25678/beef-stew-vi/?internalSource=recipe%20hub&referringId=186&referringContentType=recipe%20hub&clickId=cardslot%2038,,,,,,,,,,,,,,,,,,,
95,Beef,Italian Meatballs,http://allrecipes.com/recipe/213742/meatball-nirvana/?internalSource=recipe%20hub&referringId=1642&referringContentType=recipe%20hub&clickId=cardslot%2085,,,,,,,,,,,,,,,,,,,
96,Chicken,Curried Coconut Chicken,http://allrecipes.com/recipe/68532/curried-coconut-chicken/?internalSource=recipe%20hub&referringId=1642&referringContentType=recipe%20hub&clickId=cardslot%2091,,,,,,,,,,,,,,,,,,,
97,Vegetables,Spinach Quiche,http://allrecipes.com/recipe/16664/spinach-quiche/?internalSource=recipe%20hub&referringId=186&referringContentType=recipe%20hub&clickId=cardslot%2054,,,,,,,,,,,,,,,,,,,
98,Vegetables,Spaghetti Squash,http://allrecipes.com/recipe/13948/spaghetti-squash-i/?internalSource=recipe%20hub&referringId=186&referringContentType=recipe%20hub&clickId=cardslot%2068,,,,,,,,,,,,,,,,,,,
99,Fish,Peppered Shrimp Alfredo,http://allrecipes.com/recipe/133128/peppered-shrimp-alfredo/?internalSource=recipe%20hub&referringId=186&referringContentType=recipe%20hub&clickId=cardslot%2070,,,,,,,,,,,,,,,,,,,
100,Vegetables,Butternut Squash Soup,http://allrecipes.com/recipe/77981/butternut-squash-soup-ii/?internalSource=recipe%20hub&referringId=186&referringContentType=recipe%20hub&clickId=cardslot%2076,,,,,,,,,,,,,,,,,,,
101,Beef,Classic Beef Goulash,http://allrecipes.com/recipe/213268/classic-goulash/?internalSource=recipe%20hub&referringId=186&referringContentType=recipe%20hub&clickId=cardslot%20112,,,,,,,,,,,,,,,,,,,
102,Beef,Stuffed Cabbage Rolls,http://allrecipes.com/recipe/26661/stuffed-cabbage-rolls/?internalSource=recipe%20hub&referringId=186&referringContentType=recipe%20hub&clickId=cardslot%20142,,,,,,,,,,,,,,,,,,,
103,Vegetables,Goat Cheese & Vegetable Salad,http://allrecipes.com/recipe/222255/great-grilled-smoky-vegetables-with-avocado-and-goat-cheese-crumbles/?internalSource=rotd&referringId=186&referringContentType=recipe%20hub&clickId=cardslot%201,,,,,,,,,,,,,,,,,,,
104,Pork,Italian Sausage Soup,http://allrecipes.com/recipe/12942/italian-sausage-soup/?internalSource=recipe%20hub&referringId=186&referringContentType=recipe%20hub&clickId=cardslot%2034,,,,,,,,,,,,,,,,,,,
